id1,id2,score,is_correct,classification
metabooks_505604,goodreads_23446,1.0,False,FP
metabooks_505604,goodreads_27054,1.0,False,FP
metabooks_505604,goodreads_27916,1.0,False,FP
metabooks_505604,goodreads_29757,1.0,False,FP
metabooks_505604,goodreads_32983,1.0,False,FP
metabooks_505604,goodreads_33166,1.0,False,FP
metabooks_505604,goodreads_33402,1.0,False,FP
metabooks_505604,goodreads_35839,1.0,False,FP
metabooks_505604,goodreads_37429,1.0,False,FP
metabooks_505604,goodreads_37483,1.0,False,FP
metabooks_505604,goodreads_39603,1.0,False,FP
metabooks_505604,goodreads_41151,1.0,False,FP
metabooks_505604,goodreads_41494,1.0,False,FP
metabooks_505604,goodreads_41949,1.0,False,FP
metabooks_322663,goodreads_21775,1.0,False,FP
metabooks_322663,goodreads_34187,1.0,False,FP
metabooks_322663,goodreads_40946,1.0,False,FP
metabooks_527343,goodreads_14498,1.0,False,FP
metabooks_487120,goodreads_48610,1.0,False,FP
metabooks_467271,goodreads_48610,1.0,False,FP
metabooks_427474,goodreads_14701,1.0,False,FP
metabooks_154235,goodreads_22669,1.0,False,FP
metabooks_154235,goodreads_24927,1.0,False,FP
metabooks_154235,goodreads_32814,1.0,False,FP
metabooks_221076,goodreads_22669,1.0,False,FP
metabooks_221076,goodreads_24927,1.0,False,FP
metabooks_221076,goodreads_32814,1.0,False,FP
metabooks_444865,goodreads_22669,1.0,False,FP
metabooks_444865,goodreads_24927,1.0,False,FP
metabooks_444865,goodreads_32814,1.0,False,FP
metabooks_133367,goodreads_52396,1.0,False,FP
metabooks_419885,goodreads_52396,1.0,False,FP
metabooks_121082,goodreads_52396,1.0,False,FP
metabooks_392275,goodreads_45583,1.0,False,FP
metabooks_435613,goodreads_45583,1.0,False,FP
metabooks_477681,goodreads_45583,1.0,False,FP
metabooks_91603,goodreads_11838,1.0,False,FP
metabooks_425930,goodreads_11838,1.0,False,FP
metabooks_26058,goodreads_42585,1.0,False,FP
metabooks_271561,goodreads_42585,1.0,False,FP
metabooks_408657,goodreads_42585,1.0,False,FP
metabooks_172856,goodreads_42585,1.0,False,FP
metabooks_87465,goodreads_51022,1.0,False,FP
metabooks_530273,goodreads_22359,1.0,False,FP
metabooks_177871,goodreads_6393,1.0,False,FP
metabooks_366757,goodreads_9279,1.0,False,FP
metabooks_207290,goodreads_19256,1.0,False,FP
metabooks_155069,goodreads_419,1.0,False,FP
metabooks_405155,goodreads_419,1.0,False,FP
metabooks_377932,goodreads_44186,1.0,False,FP
metabooks_30130,goodreads_18142,1.0,False,FP
metabooks_331101,goodreads_18142,1.0,False,FP
metabooks_439344,goodreads_2501,1.0,False,FP
metabooks_278192,goodreads_5873,1.0,False,FP
metabooks_34881,goodreads_12919,1.0,False,FP
metabooks_261449,goodreads_12919,1.0,False,FP
metabooks_482803,goodreads_47996,1.0,False,FP
metabooks_182275,goodreads_47996,1.0,False,FP
metabooks_504269,goodreads_6704,1.0,False,FP
metabooks_42264,goodreads_50431,1.0,False,FP
metabooks_342313,goodreads_1931,1.0,False,FP
metabooks_363330,goodreads_1931,1.0,False,FP
metabooks_396284,goodreads_42326,1.0,False,FP
metabooks_60087,goodreads_81,1.0,False,FP
metabooks_89316,goodreads_81,1.0,False,FP
metabooks_174600,goodreads_81,1.0,False,FP
metabooks_269508,goodreads_81,1.0,False,FP
metabooks_344763,goodreads_81,1.0,False,FP
