id,source,name,name_norm,map_url,phone_raw,phone_e164,address_line1,address_line2,street,house_number,city,state,postal_code,country,latitude,longitude,categories,rating,rating_count
yelp-05630,yelp,CAVA,cava,https://www.yelp.com/biz/cava-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13463271527.0,13463271527.0,250 W 20th,,W 20th,250,Houston,TX,77008,US,29.8037542,-95.40124112345896,['mediterranean'],4.1,156.0
yelp-05631,yelp,Blue Tuba,blue tuba,https://www.yelp.com/biz/blue-tuba-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17139554612.0,17139554612.0,350 W 19th St,,W 19th St,350,Houston,TX,77008,US,29.80277929336948,-95.40329249061776,[],4.1,76.0
yelp-05632,yelp,Willie’s Seafood Wings & Daiquiris,willie s seafood wings daiquiris,https://www.yelp.com/biz/willie-s-seafood-wings-and-daiquiris-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13464063979.0,13464063979.0,2724 Quitman St,,Quitman St,2724,Houston,TX,77026,US,29.783283,-95.342196,['seafood'],3.8,5.0
yelp-05633,yelp,Everything Suya,everything suya,https://www.yelp.com/biz/everything-suya-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12027746042.0,12027746042.0,7820 Fulton St,,Fulton St,7820,Houston,TX,77022,US,29.832936351987698,-95.3755935,[],4.5,2.0
yelp-05634,yelp,Bayou Seafood & More,bayou seafood more,https://www.yelp.com/biz/bayou-seafood-and-more-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12817414520.0,12817414520.0,10040 Veterans Memorial Dr,,Veterans Memorial Dr,10040,Houston,TX,77038,US,29.9124,-95.43997,['seafood'],4.4,191.0
yelp-05635,yelp,Kin Dee,kin dee,https://www.yelp.com/biz/kin-dee-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12818262655.0,12818262655.0,1533 N Shepherd Dr,,N Shepherd Dr,1533,Houston,TX,77008,US,29.798875,-95.410416,['thai'],4.4,971.0
yelp-05636,yelp,Cooking Girl - The Heights,cooking girl the heights,https://www.yelp.com/biz/cooking-girl-the-heights-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136848021.0,17136848021.0,550 Heights Blvd,,Heights Blvd,550,Houston,TX,77007,US,29.78117,-95.397041,['seafood'],4.3,38.0
yelp-05637,yelp,Simos Diner,simos diner,https://www.yelp.com/biz/simos-diner-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17136975553.0,17136975553.0,5004 N Shepherd Dr,,N Shepherd Dr,5004,Houston,TX,77018,US,29.83938,-95.41036,"['breakfast', 'greek']",4.4,135.0
yelp-05638,yelp,El Remedio Mariscos,el remedio mariscos,https://www.yelp.com/biz/el-remedio-mariscos-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18322739159.0,18322739159.0,7220 Airline Dr,,Airline Dr,7220,Houston,TX,77076,US,29.866759,-95.384402,['seafood'],0.0,0.0
yelp-05639,yelp,Tacos Estilo Reynosa,tacos estilo reynosa,https://www.yelp.com/biz/tacos-estilo-reynosa-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12812277882.0,12812277882.0,2112 Cromwell St,,Cromwell St,2112,Houston,TX,77093,US,29.8792226,-95.3551144,['mexican'],3.5,31.0
yelp-05640,yelp,Nam Eatery,nam eatery,https://www.yelp.com/biz/nam-eatery-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13465718980.0,13465718980.0,502 E 20th St,B,E 20th St,502,Houston,TX,77008,US,29.8038379159858,-95.3930600768915,[],4.3,263.0
yelp-05641,yelp,Ojos Locos Sports Cantina,ojos locos sports cantina,https://www.yelp.com/biz/ojos-locos-sports-cantina-houston-10?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,18328103688.0,18328103688.0,11743 Eastex Fwy,,Eastex Fwy,11743,Houston,TX,77039,US,29.8923302,-95.3185011,['mexican'],4.4,9.0
yelp-05642,yelp,Tacos Doña Lena,tacos doña lena,https://www.yelp.com/biz/tacos-do%C3%B1a-lena-houston-2?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,17134850504.0,17134850504.0,1805 W 18th St,,W 18th St,1805,Houston,TX,77008,US,29.8019526,-95.4318935,['mexican'],4.4,111.0
yelp-05643,yelp,Daily Cup,daily cup,https://www.yelp.com/biz/daily-cup-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,,,3911 Yale St,,Yale St,3911,Houston,TX,77018,US,29.82213669551049,-95.3999063,[],4.0,47.0
yelp-05644,yelp,Spices 39,spices 39,https://www.yelp.com/biz/spices-39-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,12817240678.0,12817240678.0,626 W 19th St,,W 19th St,626,Houston,TX,77008,US,29.802605,-95.409334,[],4.1,100.0
yelp-05645,yelp,Taqueria El Sol,taqueria el sol,https://www.yelp.com/biz/taqueria-el-sol-houston?adjust_creative=-gPx4vWNpo1SUGT24BO78g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-gPx4vWNpo1SUGT24BO78g,13462436166.0,13462436166.0,10607 Bauman Rd,,Bauman Rd,10607,Houston,TX,77076,US,29.858587619733964,-95.3722237,['mexican'],0.0,0.0
